species,sample_no,depth,H15N,H13C,A15N,A13C,H.C.N,A.C.N,perc_om,perc_im,cell.afdw,chla.afdw,chlb.afdw,chlc.afdw,ratio,protZ.afdw,protH.afdw,prot.afdw,lip.cont,lip.afdw
Stereonephthya sp.,SC190001,10,NA,-23.223,5.584,-19.063,NA,4.179780677,17.00680272,82.99319728,554320000,1112.06,-2.32,540.1,0.485675233,86426.02102,55743.93373,142169.9548,0.007251624,0.165526202
Stereonephthya sp.,SC190003,10,5.201,-22.459,5.429,-19.305,6.729733391,5.079605865,18.99641577,81.00358423,634716981.1,1823.45283,-24.41509434,715.3396226,0.392299494,82574.45287,55067.68522,137642.1381,0.010566845,0.152106834
Stereonephthya sp.,SC190010,10,4.943,-22.25,4.984,-19.175,6.516449671,4.633353094,19.26605505,80.73394495,393650793.7,1062.968254,-0.555555556,482.7142857,0.454119193,60821.92686,38350.83806,99172.76492,0.006364421,0.123262604
Stereonephthya sp.,SC190012,10,5.428,-21.6,5.526,-18.871,6.358934658,5.527952656,21.03448276,78.96551724,528786885.2,1153.311475,-1.524590164,558.2622951,0.484051626,53415.18932,49313.43861,102728.6279,0.011697253,0.207732138
Stereonephthya sp.,SC190013,10,5.194,-21.193,5.378,-19.06,8.188898426,5.006135937,20,80,408888888.9,841.3333333,-8.777777778,388.5185185,0.461789047,74082.76221,46121.23578,120203.998,0.007044674,0.164058556
Stereonephthya sp.,SC190014,10,5.044,-21.747,5.374,-18.735,5.960083112,4.886322165,22.59259259,77.40740741,435409836.1,1453.508197,-23.49180328,625.4098361,0.430276099,61063.15414,56209.29132,117272.4455,0.008300305,0.168682527
Stereonephthya sp.,SC190018,10,5.285,-20.999,5.641,-18.645,5.735353821,4.976945161,19.71326165,80.28673835,327272727.3,1094.490909,1.472727273,420.4545455,0.384155357,59069.03725,37690.32856,96759.3658,0.006189317,0.104830441
Stereonephthya sp.,SC190019,10,5.051,-21.822,5.187,-18.263,9.41890614,5.329686646,19.28571429,80.71428571,254222222.2,1010.740741,-26.11111111,471.8518519,0.466837669,57277.36977,34708.5014,91985.87117,0.008126632,0.14505367
Stereonephthya sp.,SC190020,10,5.04,-20.731,NA,-19.089,8.690992321,NA,16.4874552,83.5125448,343652173.9,961.8913043,1.5,459.7173913,0.477930707,91825.64637,40412.07222,132237.7186,0.006337037,0.121592873
Stereonephthya sp.,SC190021,10,5.5,-21.46,5.52,-18.578,8.105394401,4.328505368,16.38225256,83.61774744,369250000,1137.083333,-29.375,530.8333333,0.466837669,42577.34869,103164.097,145741.4457,0.006122353,0.143627451
Litophyton sp.,SC190004,10,6.24,-21.811,NA,-20.501,8.279669187,NA,28.87029289,71.12970711,310840579.7,2246.202899,-66.28985507,673.7391304,0.299945802,25643.51087,47921.62268,73565.13355,0.016984505,0.2296268
Litophyton sp.,SC190005,10,6.41,-21.355,6.076,-19.133,8.425581312,6.279361609,21.52466368,78.47533632,326083333.3,1971.270833,-64.25,573.0625,0.290707137,109584.9001,67387.23729,176972.1374,0.013471394,0.243335348
Litophyton sp.,SC190006,10,6.293,-20.806,6.314,-19.552,8.128169475,5.885046204,22.81553398,77.18446602,405106383,2254.829787,-69.55319149,709.893617,0.314832464,138391.8503,124259.0259,262650.8762,0.012731908,0.274354393
Litophyton sp.,SC190007,10,NA,-21.697,NA,NA,NA,NA,26.953125,73.046875,3.08E+08,1120.869565,-2.666666667,325.8550725,0.290716318,67582.74519,89905.31957,157488.0648,0.015299868,0.243207916
Litophyton sp.,SC190008,10,6.126,-19.583,6.002,-17.927,8.577569416,6.035860827,29.16666667,70.83333333,516063492.1,2314.666667,-66.19047619,744.3174603,0.321565723,63707.63782,84765.9973,148473.6351,0.018180556,0.261904762
Litophyton sp.,SC190009,10,6.033,-20.599,NA,-20.99,8.911881902,NA,27.61506276,72.38493724,2.80E+08,1551.848485,-24.84848485,513.1212121,0.330651618,34329.77262,63237.3155,97567.08812,0.015695428,0.249173491
Litophyton sp.,SC190015,10,5.782,-20.002,NA,-19.997,7.584966719,NA,25.19083969,74.80916031,307151515.2,2104.30303,-37.62121212,662.8787879,0.315011088,40169.39296,91523.18974,131692.5827,0.012675111,0.240173501
Litophyton sp.,SC190016,10,5.734,-20.754,6.001,-17.653,8.4593948,4.146380064,27.77777778,72.22222222,344861538.5,1085.2,-17.41538462,384.7076923,0.354503955,43590.6813,82493.38223,126084.0635,0.013371021,0.256860593
Litophyton sp.,SC190017,10,5.659,-21.732,NA,-21.731,7.859567406,NA,28.13852814,71.86147186,369169230.8,1630.415385,-50.29230769,513.3076923,0.314832464,78726.04153,40112.46699,118838.5085,0.013696835,0.215287244
Litophyton sp.,SC190022,10,5.813,-18.499,5.548,-17.168,7.661919186,5.26954073,26.953125,73.046875,265739130.4,1420.492754,-41.68115942,415.9130435,0.292794907,35601.64693,84794.30619,120395.9531,0.016292878,0.285810583
